Date,Open,High,Low,Close,Volume
14/01/2019 20:00:00,1.1253,1.1254,1.125,1.125,2426
14/01/2019 21:00:00,1.125,1.1252,1.1245,1.1247,8381
14/01/2019 22:00:00,1.1247,1.1258,1.1245,1.1256,2021
14/01/2019 23:00:00,1.1256,1.1263,1.1254,1.1262,2065
15/01/2019 00:00:00,1.1262,1.1264,1.1258,1.1259,3474
15/01/2019 01:00:00,1.1259,1.1263,1.1259,1.126,2205
15/01/2019 02:00:00,1.126,1.1265,1.126,1.1263,2268
15/01/2019 03:00:00,1.1263,1.1265,1.126,1.1262,3181
15/01/2019 04:00:00,1.1262,1.1264,1.1259,1.1264,3029
15/01/2019 05:00:00,1.1264,1.1265,1.126,1.1263,1917
15/01/2019 06:00:00,1.1263,1.1264,1.1257,1.1261,7253
15/01/2019 07:00:00,1.1261,1.1269,1.1257,1.1266,12195
15/01/2019 08:00:00,1.1266,1.1272,1.1252,1.1262,14455
15/01/2019 09:00:00,1.1262,1.1275,1.1261,1.1274,12131
15/01/2019 10:00:00,1.1274,1.1279,1.1272,1.1274,10507
15/01/2019 11:00:00,1.1274,1.1275,1.1261,1.1268,14727
15/01/2019 12:00:00,1.1268,1.1272,1.1261,1.1265,17254
15/01/2019 13:00:00,1.1265,1.129,1.1264,1.1289,13991
15/01/2019 14:00:00,1.1289,1.129,1.1263,1.128,16763
15/01/2019 15:00:00,1.128,1.1281,1.1255,1.1261,22464
15/01/2019 16:00:00,1.1261,1.1267,1.1259,1.1259,10075
15/01/2019 17:00:00,1.1259,1.1265,1.1258,1.1263,7915
15/01/2019 18:00:00,1.1263,1.1269,1.1257,1.1265,12724
15/01/2019 19:00:00,1.1265,1.1275,1.1265,1.1267,11736
15/01/2019 20:00:00,1.1267,1.1273,1.1267,1.1271,3959
15/01/2019 21:00:00,1.1272,1.1273,1.1265,1.1268,4365
15/01/2019 22:00:00,1.1268,1.1276,1.1268,1.127,2361
15/01/2019 23:00:00,1.127,1.127,1.1266,1.1268,3358
16/01/2019 00:00:00,1.1268,1.127,1.1261,1.1262,3111
16/01/2019 01:00:00,1.1262,1.1267,1.126,1.1265,2153
16/01/2019 02:00:00,1.1265,1.1266,1.1261,1.1266,1809
16/01/2019 03:00:00,1.1266,1.1272,1.1265,1.1272,2085
16/01/2019 04:00:00,1.1272,1.128,1.1269,1.1279,2413
16/01/2019 05:00:00,1.1279,1.128,1.1272,1.1273,2991
16/01/2019 06:00:00,1.1274,1.1279,1.1267,1.1268,9091
16/01/2019 07:00:00,1.1268,1.1279,1.1268,1.1277,11787
16/01/2019 08:00:00,1.1277,1.1285,1.1275,1.1276,9115
16/01/2019 09:00:00,1.1276,1.1277,1.1267,1.1267,6704
16/01/2019 10:00:00,1.1267,1.1272,1.1265,1.1268,10204
16/01/2019 11:00:00,1.1268,1.1276,1.1267,1.1271,10760
16/01/2019 12:00:00,1.1271,1.1272,1.1266,1.1267,9950
